	Source	Target	Weight	Type
3423	Berwick_R	Berwick_R	1	Undirected
3455	Meng_P	Miao_H	1	Undirected
3422	Anderson_A	Carletta_J	1	Undirected
3421	Holmes_D	Johnson_E	1	Undirected
3419	Amitay_E	Place_B	1	Undirected
3418	Bond_C	DePaulo_B	1	Undirected
3417	Levinson_S	Levinson_S	1	Undirected
3453	Martin_N	Schubert_L	1	Undirected
3563	McKendrick_A	Vingrys_A	1	Undirected
3565	Shi_W	Walters_J	1	Undirected
3963	Lay_M	Pincemin_B	1	Undirected
3567	Fragos_K	Fragos_K	1	Undirected
3940	Hedegaard_S	Simonsen_J	1	Undirected
3939	Welch_T	Welch_T	1	Undirected
3938	Hahn_U	Strube_M	1	Undirected
3937	Katz_S	Katz_S	1	Undirected
3742	Aiden_E	Norvig_P	1	Undirected
3741	Chen_H	Tseng_C	1	Undirected
3740	Fais_L	Loken-Kim_K	1	Undirected
3521	Weizenbaum_J	Weizenbaum_J	1	Undirected
3538	Campbell_G	Hale_J	1	Undirected
3537	Cardie_C	Choi_Y	1	Undirected
3536	Dzikovska_M	Galescu_L	1	Undirected
3535	Montoyo_A	Munoz_R	1	Undirected
3534	Goulain_J	Olsen_M	1	Undirected
3532	Paloski_A	Zheng_N	1	Undirected
3531	Gisin_N	Wegmuller_M	1	Undirected
3943	Chapman_R	Chapman_R	1	Undirected
3944	Cohen_J	Cohen_J	1	Undirected
3945	Vonfelt_S	Vonfelt_S	1	Undirected
3955	Ullman_J	Yannakakis_M	1	Undirected
3961	Zeisel_H	Zeisel_H	1	Undirected
3960	Cole_C	Craig_H	1	Undirected
3959	Barboun_L	Chatterjee_A	1	Undirected
3958	Hauptmeier_H	Hauptmeier_H	1	Undirected
3957	Garcia_M	Morell_C	1	Undirected
3956	Noecker_J	Zhao_M	1	Undirected
3954	Beauvisage_T	Beauvisage_T	1	Undirected
3946	Liu_Y	Lu_P	1	Undirected
3953	Beckwith_R	Miller_G	1	Undirected
3952	Aubrey_W	Markham_M	1	Undirected
3950	Weber_J	Weber_J	1	Undirected
3949	Ellison_J	Ellison_J	1	Undirected
3948	Hadid_A	Pietikainen_M	1	Undirected
3947	Kerlinger_F	Lee_H	1	Undirected
3529	Vescovi_D	Vescovi_D	1	Undirected
3528	Fujinaga_I	Smith_J	1	Undirected
3527	Tilahun_G	Tilahun_G	1	Undirected
3576	Hughes_J	Krakauer_D	1	Undirected
3502	Guthrie_D	Tse_E	1	Undirected
3540	King_R	Young_M	1	Undirected
3541	Jr_J	Ryan_M	1	Undirected
3543	Lake_D	Lake_D	1	Undirected
3544	Howe_C	Howe_C	1	Undirected
3578	Moore_R	Moore_R	1	Undirected
3575	Craig_H	Drew_J	1	Undirected
3505	Argamon-Engleson_A	Avneri_G	1	Undirected
3574	Dong_J	Tan_L	1	Undirected
3573	Hoover_D	Kestemont_M	1	Undirected
3572	Spiegler_S	Turunen_V	1	Undirected
3571	Svartvik_J	Svartvik_J	1	Undirected
