	Id	Weight	Label
2811	Glass_L	1	Glass_L
1776	Koval_O	1	Koval_O
1902	Venezky_R	1	Venezky_R
1933	Manabu_O	1	Manabu_O
1934	Engels_S	1	Engels_S
1935	Bruijn_M	1	Bruijn_M
1936	Chang_C	1	Chang_C
1937	Schmidt_K	1	Schmidt_K
1930	van-der-Merwe-Scholtz_H	1	van-der-Merwe-Scholtz_H
1899	Long_M	1	Long_M
1920	Kaferly_D	1	Kaferly_D
1918	Ali_K	1	Ali_K
2814	Friedman_W	1	Friedman_W
1903	Hadjidj_R	1	Hadjidj_R
1915	Sulaiman_M	1	Sulaiman_M
2813	Lopez_C	1	Lopez_C
1905	Laxer_C	1	Laxer_C
1906	Wintner_S	1	Wintner_S
1907	Bonsall_B	1	Bonsall_B
1919	Brofos_J	1	Brofos_J
1909	Rodriguez_Y	1	Rodriguez_Y
1911	Leibler_R	1	Leibler_R
1912	Diana_G	1	Diana_G
1913	Bean_J	1	Bean_J
1914	Morris_J	1	Morris_J
1792	Boonstra_O	1	Boonstra_O
2847	Lykken_D	1	Lykken_D
2832	Boissier_D	1	Boissier_D
1835	Brown_J	1	Brown_J
1849	Hoiberg_D	1	Hoiberg_D
1850	Corrigan_B	1	Corrigan_B
1851	Ling_J	1	Ling_J
1852	Lohr_U	1	Lohr_U
1853	Monière_D	1	Monière_D
1854	Goy-Blanquet_D	1	Goy-Blanquet_D
1855	Spaulding_A	1	Spaulding_A
1848	Niezgoda_S	1	Niezgoda_S
1815	Friedman_M	1	Friedman_M
1837	Nyhan_J	1	Nyhan_J
2835	A.-Balansard	1	A.-Balansard
2830	Hall_G	1	Hall_G
1818	Cox_C	1	Cox_C
1819	Cohen_W	1	Cohen_W
1820	Kossuth_K	1	Kossuth_K
1821	Rasheed_K	1	Rasheed_K
1823	Ji_M	1	Ji_M
1824	Weizenbaum_J	1	Weizenbaum_J
1836	Norvig_P	1	Norvig_P
2833	Holt_Y	1	Holt_Y
1827	Blackith_R	1	Blackith_R
1828	Crosland_A	1	Crosland_A
1847	Best_J	1	Best_J
1846	Beauvisage_T	1	Beauvisage_T
1778	Morris_W	1	Morris_W
1789	Hardie_A	1	Hardie_A
2846	Kurose_J	1	Kurose_J
1780	Igarashi_Y	1	Igarashi_Y
1781	Galloway_P	1	Galloway_P
1782	Chaudhuri_P	1	Chaudhuri_P
1793	Stapel_R	1	Stapel_R
1783	Cristani_M	1	Cristani_M
2845	Lohlein_B	1	Lohlein_B
1786	Barclay_J	1	Barclay_J
1787	Malone_B	1	Malone_B
1788	Smith_A	1	Smith_A
1790	Guidorizzi_R	1	Guidorizzi_R
2827	Flores-Saez_E	1	Flores-Saez_E
1791	Fitzgerald_J	1	Fitzgerald_J
1784	Franchini_E	1	Franchini_E
2826	Berridge_D	1	Berridge_D
2836	Menon_R	1	Menon_R
1816	Donkin_A	1	Donkin_A
1839	Sebillo_M	1	Sebillo_M
2829	Oliver_S	1	Oliver_S
1841	Herlihy_M	1	Herlihy_M
